,col_name,feature_importance_vals
52,tGravityAcc-min()-X,2648.190185546875
9,tBodyAcc-max()-X,699.4161987304688
302,"fBodyAcc-bandsEnergy()-1,8",469.1519470214844
179,tBodyGyroJerk-iqr()-X,404.7247009277344
50,tGravityAcc-max()-Y,379.14239501953125
129,tBodyGyro-max()-X,366.9791564941406
89,tBodyAccJerk-max()-X,359.43084716796875
40,tGravityAcc-mean()-X,355.2786560058594
37,"tBodyAcc-correlation()-X,Y",344.42333984375
461,"fBodyGyro-bandsEnergy()-9,16",316.9010925292969
504,fBodyAccMag-mad(),309.51385498046875
450,fBodyGyro-maxInds-Z,303.1473693847656
503,fBodyAccMag-std(),288.6277160644531
16,tBodyAcc-energy()-X,280.2060241699219
138,tBodyGyro-energy()-Z,254.58822631835938
330,"fBodyAcc-bandsEnergy()-1,8.2",253.8839569091797
22,tBodyAcc-entropy()-X,241.84657287597656
53,tGravityAcc-min()-Y,220.05422973632812
448,fBodyGyro-maxInds-X,219.28704833984375
41,tGravityAcc-mean()-Y,212.9816436767578
518,fBodyBodyAccJerkMag-max(),210.1077117919922
132,tBodyGyro-min()-X,187.4499053955078
409,"fBodyAccJerk-bandsEnergy()-1,8.2",174.65667724609375
537,fBodyBodyGyroMag-maxInds,159.33494567871094
139,tBodyGyro-iqr()-X,156.7120819091797
434,fBodyGyro-max()-Z,155.11769104003906
57,tGravityAcc-energy()-Y,146.4733123779297
274,fBodyAcc-max()-X,138.40440368652344
429,fBodyGyro-mad()-X,136.6095733642578
509,fBodyAccMag-iqr(),136.45252990722656
91,tBodyAccJerk-max()-Z,126.57463073730469
13,tBodyAcc-min()-Y,118.98043060302734
386,"fBodyAccJerk-bandsEnergy()-41,48",118.21431732177734
65,"tGravityAcc-arCoeff()-X,1",116.33634185791016
24,tBodyAcc-entropy()-Z,114.45149230957031
102,tBodyAccJerk-entropy()-X,106.3216323852539
135,tBodyGyro-sma(),105.13664245605469
451,fBodyGyro-meanFreq()-X,104.14166259765625
141,tBodyGyro-iqr()-Z,102.95155334472656
54,tGravityAcc-min()-Z,102.75708770751953
348,fBodyAccJerk-std()-Y,96.746826171875
316,"fBodyAcc-bandsEnergy()-1,8.1",95.05176544189453
73,"tGravityAcc-arCoeff()-Z,1",92.19691467285156
490,"fBodyGyro-bandsEnergy()-17,24.2",92.0439453125
458,fBodyGyro-skewness()-Z,87.67821502685547
268,fBodyAcc-std()-X,87.644287109375
433,fBodyGyro-max()-Y,85.17984771728516
432,fBodyGyro-max()-X,82.29802703857422
202,tBodyAccMag-mad(),80.96934509277344
526,fBodyBodyAccJerkMag-skewness(),80.89238739013672
259,tBodyGyroJerkMag-iqr(),78.02313232421875
87,tBodyAccJerk-mad()-Y,75.54502868652344
159,"tBodyGyro-correlation()-Y,Z",74.33377838134766
559,"angle(Y,gravityMean)",73.66307830810547
62,tGravityAcc-entropy()-X,68.2666244506836
318,"fBodyAcc-bandsEnergy()-17,24.1",67.93449401855469
186,"tBodyGyroJerk-arCoeff()-X,2",67.8213119506836
369,fBodyAccJerk-maxInds-X,67.49813079833984
140,tBodyGyro-iqr()-Y,67.30520629882812
90,tBodyAccJerk-max()-Y,66.56641387939453
470,"fBodyGyro-bandsEnergy()-33,48",66.00019073486328
558,"angle(X,gravityMean)",65.77539825439453
510,fBodyAccMag-entropy(),65.66242980957031
426,fBodyGyro-std()-X,65.63275146484375
42,tGravityAcc-mean()-Z,64.80966186523438
74,"tGravityAcc-arCoeff()-Z,2",64.68408966064453
69,"tGravityAcc-arCoeff()-Y,1",64.30915832519531
465,"fBodyGyro-bandsEnergy()-41,48",64.21839904785156
351,fBodyAccJerk-mad()-Y,63.51204299926758
296,fBodyAcc-skewness()-X,62.96515655517578
556,"angle(tBodyGyroMean,gravityMean)",60.153297424316406
459,fBodyGyro-kurtosis()-Z,59.20939636230469
209,tBodyAccMag-arCoeff()1,58.55894470214844
142,tBodyGyro-entropy()-X,57.99691390991211
317,"fBodyAcc-bandsEnergy()-9,16.1",57.61227798461914
295,fBodyAcc-meanFreq()-Z,57.1239013671875
396,"fBodyAccJerk-bandsEnergy()-9,16.1",56.73965835571289
66,"tGravityAcc-arCoeff()-X,2",56.6517333984375
70,"tGravityAcc-arCoeff()-Y,2",56.158302307128906
374,fBodyAccJerk-meanFreq()-Z,54.956626892089844
101,tBodyAccJerk-iqr()-Z,54.61128616333008
163,tBodyGyroJerk-std()-X,52.618038177490234
354,fBodyAccJerk-max()-Y,51.74018859863281
58,tGravityAcc-energy()-Z,50.694915771484375
310,"fBodyAcc-bandsEnergy()-1,16",47.730377197265625
